127.0.0.1 - - [22/Jan/2016:14:30:43 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /BookShop/Index1.jsp HTTP/1.1" 200 15842
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/js/jquery-1.11.1.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/css/flexslider.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/css/bootstrap.css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/js/jquery.lightbox.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/css/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/css/jquery.lightbox.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/images/2.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/images/5.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/js/bootstrap.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/js/jquery.flexslider.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/images/1.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/images/6.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/css/flexslider.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/images/4.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/images/2.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/images/5.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/images/4.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/images/6.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/images/1.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:30:46 -0800] "GET /resource/js/bootstrap.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:48 -0800] "GET /BookShop/Index1.jsp HTTP/1.1" 200 15851
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/css/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/css/bootstrap.css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/js/jquery-1.11.1.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/css/jquery.lightbox.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/css/flexslider.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/js/jquery.flexslider.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/js/bootstrap.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/images/1.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/images/2.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/images/6.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/images/4.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/images/5.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /BookShop/resource/js/jquery.lightbox.js HTTP/1.1" 200 7829
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/css/flexslider.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/js/jquery.flexslider.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/images/2.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/images/4.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/images/1.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/images/6.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/js/bootstrap.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:36:49 -0800] "GET /resource/images/5.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /BookShop/Index1.jsp HTTP/1.1" 200 15871
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/css/bootstrap.css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/css/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/css/jquery.lightbox.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/css/flexslider.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/js/jquery.flexslider.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/js/bootstrap.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/images/2.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/images/4.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/images/6.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/images/5.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /BookShop/resource/images/1.jpg HTTP/1.1" 200 46951
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /BookShop/resource/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /BookShop/resource/js/jquery.lightbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/css/jquery.lightbox.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/js/jquery.flexslider.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/css/flexslider.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/images/4.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/images/6.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/js/bootstrap.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/images/5.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:14:50:25 -0800] "GET /resource/images/2.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:12:22 -0800] "GET /BookShop/index.jsp HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:12:27 -0800] "GET /BookShop/reg HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:12:30 -0800] "GET /BookShop/login HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/index1.jsp HTTP/1.1" 200 9661
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/css/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/css/slider.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/js/jquery-1.9.0.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/js/jquery.nivo.slider.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/js/jquery.lightbox.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/logo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/banner1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/banner2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/css/lightbox.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/banner3.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/icon3.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/icon2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/icon1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/gallery1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/gallery4.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/pic1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/gallery5.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/gallery3.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/gallery2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:07 -0800] "GET /BookShop/images/gallery6.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/js/jquery.nivo.slider.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/banner3.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/logo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/banner1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/banner2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/icon2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/icon1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/js/jquery.lightbox.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/gallery2.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/gallery3.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/icon3.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/pic1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/gallery5.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/gallery1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/gallery4.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/images/gallery6.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/css/lightbox.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:11 -0800] "GET /BookShop/index1.jsp HTTP/1.1" 200 10030
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/css/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/css/slider.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /BookShop/resource/js/jquery-1.9.0.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /BookShop/resource/js/jquery.lightbox.js HTTP/1.1" 200 19616
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /BookShop/resource/images/logo.png HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/css/lightbox.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /BookShop/resource/js/jquery.nivo.slider.js HTTP/1.1" 200 29119
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/icon1.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/icon2.jpg HTTP/1.1" 404 1044
